"MAIN SOCKET 1200 GEN 10TH"
"32013","Mainboard Asus Prime Z390-P","2,745,000đ","36(tháng)"
"32002","Mainboard Asus TUF Z390M-Pro Gaming (Wifi)","4,950,000đ","36(tháng)"
"25489","Mainboard Asrock Z390 Pro 4","2,690,000đ","36(tháng)"
"25334","Mainboard MSI B365M MAG Mortar","1,860,000đ","36(tháng)"
"23732","Mainboard Asus H310M-F R2.0 Prime","1,250,000đ","36(tháng)"
"23549","Mainboard Gigabyte B365M D3H","2,030,000đ","36(tháng)"
"23543","Mainboard Asrock B365M-HDV","1,380,000đ","36(tháng)"
"23536","Mainboard MSI B360M Gaming Plus","1,450,000đ","36(tháng)"
"23530","Mainboard Colorful H310M-E V21","890,000đ","36(tháng)"
"23462","Mainboard MSI Z390-A Pro","2,850,000đ","36(tháng)"
"18656","Mainboard Gigabyte Z390 Aorus (Mã GA-Z390 Aorus Extreme)","13,350,000đ","36(tháng)"
"18612","Mainboard Colorful B365M-HD Battle-AX Pro V21","1,200,000đ","36(tháng)"
"14293","Mainboard MSI H310M Pro VH Plus","1,280,000đ","36(tháng)"
"14277","Mainboard Colorful H310M-E V20","1,190,000đ","36(tháng)"
"14250","Mainboard Gigabyte Z390 Aorus (Mã GA-Z390 Aorus Ultra)","5,740,000đ","36(tháng)"
"12515","Mainboard MSI MPG Z390 Gaming Plus","3,700,000đ","36(tháng)"
"12486","Mainboard Asus ROG Strix Z390-F Gaming","4,750,000đ","36(tháng)"
"12476","Mainboard Asrock Z390 Steel Lengend","2,770,000đ","36(tháng)"
"12394","Mainboard Asus ROG Strix B365-G Gaming","1,590,000đ","36(tháng)"
"10572","Mainboard MSI MAG Z390 TOMAHAWK","4,120,000đ","36(tháng)"
"10584","Mainboard MSI Z390 Gaming Pro Carbon","4,900,000đ","36(tháng)"
"10560","Mainboard Gigabyte Z390 Aorus (Mã GA-Z390 Aorus Pro Wifi)","4,690,000đ","36(tháng)"
"10542","Mainboard Gigabyte Z390 Aorus (Mã GA-Z390 ELITE)","4,390,000đ","36(tháng)"
"10518","Mainboard Gigabyte Z390 (Mã GA-Z390 GAMING X)","3,540,000đ","36(tháng)"
"10468","Mainboard Gigabyte Z390 (Mã GA-Z390 UD)","2,990,000đ","36(tháng)"
"10461","Mainboard Gigabyte Z390 (Mã Z390M)","2,835,000đ","36(tháng)"
"10432","Mainboard Asus Prime Z390M-Plus","2,990,000đ","36(tháng)"
"10406","Mainboard Asus ROG Strix Z390-H Gaming","4,490,000đ","36(tháng)"
"10394","Mainboard Asus TUF Z390-Pro Gaming","4,378,000đ","36(tháng)"
"10376","Mainboard Asus TUF Z390M-Pro Gaming","3,990,000đ","36(tháng)"
"10275","Mainboard Gigabyte H370 Aorus Gaming 3","3,100,000đ","36(tháng)"
"10179","Mainboard MSI H310M Pro VD Plus","1,295,000đ","36(tháng)"
"10149","Mainboard Asus H310M-D Prime","1,460,000đ","36(tháng)"
"6945","Mainboard Asrock B365M Phantom Gaming 4","1,590,000đ","36(tháng)"
"6905","Mainboard Asrock H310CM-DVS","1,090,000đ","36(tháng)"
"6891","Mainboard Asus B365M-K Prime","1,420,000đ","36(tháng)"
"6881","Mainboard Asus H310M-CS R2.0 Prime","1,150,000đ","36(tháng)"
"1406","Mainboard MSI H310F Pro","990,000đ","36(tháng)"
"1322","Mainboard Asrock H310M-DGS 3.0","1,090,000đ","36(tháng)"
"1218","Mainboard Asus H310M-K Prime R2.0","1,090,000đ","36(tháng)"
"MAIN SOCKET 1151 V1"
"184743","Mainboard Coloful Z170X-Igame","1,750,000đ","36(tháng)"
"182282","Mainboard Gigabyte H110M-S2V Renew","950,000đ","36(tháng)"
"182281","Mainboard MSI H110 Pro VD Renew","890,000đ","36(tháng)"
"182743","Mainboard ECS H110I-C33 DDR4 (Không Box)","1,370,000đ","36(tháng)"
"174972","Mainboard Asus H110M-CS Renew","850,000đ","36(tháng)"
"129125","Mainboard Colorful iGame Z170 Ultra","1,285,000đ","24(tháng)"
"173671","Mainboard Asus Z170 Maximus VIII Hero","9,450,000đ","36(tháng)"
"129111","Mainboard Colorful B150M-D Plus V23","900,000đ","36(tháng)"
"130681","Mainboard Asus EX-H110M-V3 Expedition Chính Hãng (Win 10 Bản Quyền)","1,190,000đ","36(tháng)"
"119963","Mainboard Colorful Battle AXE C.Z170 GAMER V20","1,400,000đ","24(tháng)"
"119958","Mainboard Colorful Battle AXE C.Z170 Plus V21","1,800,000đ","24(tháng)"
"112989","Mainboard Colorful iGame Z170X Extreme","1,800,000đ","24(tháng)"
"101182","Mainboard ECS H110M-C2H D3L 1.0 (DDR3)","670,000đ","12(tháng)"
"53411","Mainboard Colorful iGame Z270 Ymir-X","1,800,000đ","24(tháng)"
"49094","Mainboard Gigabyte H110M-DS2 Renew","890,000đ","12(tháng)"
"37165","Mainboard Server Intel DBS1200SPSR Box (Socket 1151)","3,910,500đ","36(tháng)"
"31050","Mainboard MSI H110M Pro VH Plus","1,250,000đ","36(tháng)"
"25505","Mainboard MSI H110M Pro-VDL","1,230,000đ","36(tháng)"
"23473","Mainboard Colorful B250M-HD V20 Battle AXE","1,190,000đ","36(tháng)"
"18576","Mainboard Asus EX-H110M-V3 Expedition Chính Hãng","890,000đ","36(tháng)"
"12373","Mainboard Afox B250( Mã IB250-MA )","1,250,000đ","36(tháng)"
"10303","Mainboard MSI H110M Pro-VD Plus","1,120,000đ","36(tháng)"
